#node	identifier	category	term ID	term description
BDNF	9606.ENSP00000414303	GO Process	GO:0000902	Cell morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0000904	Cell morphogenesis involved in differentiation
BDNF	9606.ENSP00000414303	GO Process	GO:0001558	Regulation of cell growth
BDNF	9606.ENSP00000414303	GO Process	GO:0001932	Regulation of protein phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0001934	Positive regulation of protein phosphorylation
BDNF	9606.ENSP00000414303	GO Process	GO:0003008	System process
BDNF	9606.ENSP00000414303	GO Process	GO:0006935	Chemotaxis
BDNF	9606.ENSP00000414303	GO Process	GO:0007154	Cell communication
BDNF	9606.ENSP00000414303	GO Process	GO:0007165	Signal transduction
BDNF	9606.ENSP00000414303	GO Process	GO:0007166	Cell surface receptor signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0007167	Enzyme-linked receptor protein signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0007169	Transmembrane receptor protein tyrosine kinase signaling pathway
BDNF	9606.ENSP00000414303	GO Process	GO:0007275	Multicellular organism development
BDNF	9606.ENSP00000414303	GO Process	GO:0007399	Nervous system development
BDNF	9606.ENSP00000414303	GO Process	GO:0007409	Axonogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0007411	Axon guidance
BDNF	9606.ENSP00000414303	GO Process	GO:0007416	Synapse assembly
BDNF	9606.ENSP00000414303	GO Process	GO:0007422	Peripheral nervous system development
BDNF	9606.ENSP00000414303	GO Process	GO:0007610	Behavior
BDNF	9606.ENSP00000414303	GO Process	GO:0007611	Learning or memory
BDNF	9606.ENSP00000414303	GO Process	GO:0007613	Memory
BDNF	9606.ENSP00000414303	GO Process	GO:0008361	Regulation of cell size
BDNF	9606.ENSP00000414303	GO Process	GO:0009605	Response to external stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0009653	Anatomical structure morphogenesis
BDNF	9606.ENSP00000414303	GO Process	GO:0009719	Response to endogenous stimulus
BDNF	9606.ENSP00000414303	GO Process	GO:0009893	Positive regulation of metabolic process
BDNF	9606.ENSP00000414303	GO Process	GO:0009966	Regulation of signal transduction
BDNF	9606.ENSP00000414303	GO Process	GO:0009967	Positive regulation of signal transduction
BDNF	9606.ENSP00000414303	GO Process	GO:0009968	Negative regulation of signal transduction
BDNF	9606.ENSP00000414303	GO Process	GO:0009987	Cellular process
BDNF	9606.ENSP00000414303	GO Process	GO:0010033	Response to organic substance
BDNF	9606.ENSP00000414303	GO Process	GO:0010562	Positive regulation of phosphorus metabolic process
